id,fr,de,database
CH.AI,Appenzell Rhodes intérieures,Appenzell Innerrhoden,appenzell_innerrhoden
CH.AR,Appenzell Rhodes extérieures,Appenzell Ausserrhoden,appenzell_ausserrhoden
CH.BL,Bâle Campagne,Basel-Landschaft,basel-landschaft
CH.BS,Bâle Ville,Basel-Stadt,basel-stadt
CH.BE,Berne,Bern,bern
CH.FR,Fribourg,Freiburg,freiburg
CH.GE,Genève,Genf,genf
CH.GL,Glaris,Glarus,glarus
CH.GR,Grisons,Graubünden,graubünden
CH.JU,Jura,Jura,jura
CH.LU,Lucerne,Luzern,luzern
CH.NE,Neuchâtel,Neuenburg,neuenburg
CH.NW,Nidwald,Nidwalden,nidwalden
CH.OW,Obwald,Obwalden,obwalden
CH.SG,Saint-Gall,St. Gallen,st._gallen
CH.SH,Schaffhouse,Schaffhausen,schaffhausen
CH.SZ,Schwytz,Schwyz,schwyz
CH.SO,Soleure,Solothurn,solothurn
CH.TG,Thurgovie,Thurgau,thurgau
CH.TI,Ticino,Tessin,tessin
CH.UR,Uri,Uri,uri
CH.VS,Valais,Wallis,wallis
CH.VD,Vaud,Waadt,waadt
CH.ZG,Zoug,Zug,zug
CH.ZH,Zurich,Zürich,zürich
CH.XX,À déterminer,Noch offen,open
