fr, de
Appenzell Rhodes intérieures, Appenzell Innerrhoden
Appenzell Rhodes extérieures, Appenzell Ausserrhoden
Argovie, Aargau
Bâle Campagne, Basel-Landschaft
Bâle Ville, Basel-Stadt
Berne, Bern
Fribourg, Freiburg
Genève, Genf
Glaris, Glarus
Grisons, Graubünden
Jura, Jura
Lucerne, Luzern
Neuchâtel, Neuenburg
Nidwald, Nidwalden
Obwald, Obwalden
Saint-Gall, St. Gallen
Schaffhouse, Schaffausen
Schwytz, Schwyz
Soleure, Solothurn
Thurgovie, Thurgau
Ticino, Tessin
Uri, Uri
Valais, Vallis
Vaud, Waadt
Zoug, Zug
Zurich, Zürich
À déterminer, Noch offen
